Common Name,nid,scientific_name,category,scientific_family
Commercial Banana,,Musa acuminata,"fruit, California, California rare fruits, rare fruits",Musaceae
Commercial Banana,,Musa X paradisiaca,"fruit, California, California rare fruits, rare fruits",Musaceae
Common Currant,,Ribes sativum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Common Guava,,Psidium guajava,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Common Juniper,,Juniperus communis,"fruit, California, California rare fruits, rare fruits",Cupressacae
Conch Apple,,Passiflora maliformis,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Coontie,,Zamia integrifolia,"fruit, California, California rare fruits, rare fruits",Cycadaceae
Cornelian Cherry,7412,Cornus mas,"fruit, California, California rare fruits, rare fruits",Cornaceae
Corosol,,Rollinia emarginata,"fruit, California, California rare fruits, rare fruits",Annonaceae
Corozo,,Aiphanes acanthophylla,"fruit, California, California rare fruits, rare fruits",Palmae
Costa Rica Guava,,Psidium friedrichsthalianum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Cotopriz,,Talisia oliviformis,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Country Walnut,,Aleurites moluccana,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Coyo,,Persea scheideana,"fruit, California, California rare fruits, rare fruits",Lauraceae
Crabapple,,Malus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Cranberry,,Vaccinium,"fruit, California, California rare fruits, rare fruits",Ericaceae
Cranberry Bush,,Viburnum triloba,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
Crato Passion Fruit,,Passiflora cincinnata,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Creeping Blueberry,,Vaccinium crassifolium,"fruit, California, California rare fruits, rare fruits",Ericaceae
Cuachilote,,Parmentiera edulis,"fruit, California, California rare fruits, rare fruits",Bignoniaceae
Cuban Mangosteen,,Rheedia aristata,"fruit, California, California rare fruits, rare fruits",Guttiferae
Cuban Spinach,,Montia perfoliata,"fruit, California, California rare fruits, rare fruits",Portulacaceae
Cupu-Assu,,Theobroma grandiflorum,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Currant,10345,Ribes,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Currant Tomato,1226,Lycopersicon pimpinellifolium,"fruit, California, California rare fruits, rare fruits",Solanaceae
Curry Leaf Tree,,Murraya koenigii,"fruit, California, California rare fruits, rare fruits",Rutaceae
Curuba,,Passiflora mollissima,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Custard Apple,7546,Annona reticulata,"fruit, California, California rare fruits, rare fruits",Annonaceae
Custard Apple,7546,Annona squamosa,"fruit, California, California rare fruits, rare fruits",Annonaceae
Dalison,,Terminalia edulis,"fruit, California, California rare fruits, rare fruits",Combretaceae
Dalo,,Colocasia esculenta,"fruit, California, California rare fruits, rare fruits",Araceae
Damson Plum,9524,Chrysophyllum oliviforme,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Damson Plum,9524,Prunus instititia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Dangleberry,,Gaylussacia frondosa,"fruit, California, California rare fruits, rare fruits",Ericaceae
Darling Plum,,Reynosia septentrionalis,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Dasheen,,Colocasia esculenta,"fruit, California, California rare fruits, rare fruits",Araceae
Date Palm,9530,Phoenix dactylifera,"fruit, California, California rare fruits, rare fruits",Palmae
Date Plum,,Diospyros lotus,"fruit, California, California rare fruits, rare fruits",Ebenaceae
David Peach,,Prunus davidiana,"fruit, California, California rare fruits, rare fruits",Rosaceae
Davidson's Plum,7598,Davidsonia pruriens,"fruit, California, California rare fruits, rare fruits",Davidsoniaceae
Desert Date,,Balanites aegyptiaca,"fruit, California, California rare fruits, rare fruits",Balanitaceae
Desert Hackberry,,Celtis pallida,"fruit, California, California rare fruits, rare fruits",Ulmaceae
Dewberry,9533,Rubus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Downy Myrtle,,Rhodomyrtus tomentosa,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Dragon's Eye,,Euphoria longana,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Duku,,Lansium domesticum,"fruit, California, California rare fruits, rare fruits",Meliaceae
Durian,260,Durio zibethinus,"fruit, California, California rare fruits, rare fruits",Bombacaceae
Durian Belanda,,Annona muricata,"fruit, California, California rare fruits, rare fruits",Annonaceae
Dwarf Paw Paw,,Asimina parviflora,"fruit, California, California rare fruits, rare fruits",Annonaceae
Early Blueberry,,Vaccinium angustifolium,"fruit, California, California rare fruits, rare fruits",Ericaceae
East Indian Wine Palm,,Phoenix rupicola,"fruit, California, California rare fruits, rare fruits",Palmae
Ecuador Walnut,,Juglans neotropica,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Eddo,,Colocasia esculenta,"fruit, California, California rare fruits, rare fruits",Araceae
Edible Dogwood,,Cornus mas,"fruit, California, California rare fruits, rare fruits",Cornaceae
